Artikelnummer,Produktname,Beschreibung,Warengruppe,Hersteller,Lagerbestand,Mindestmeldebestand,Verkaufspreis (VK),Rabatt,UVP,Größe,Farbe,Tag für Crossselling,Verfügbarkeit,last_updated
OUTD-0001,Outdoor-Bekleidung XL – Grün,"Hochwertiger outdoor-bekleidung in der Größe XL und Farbe Grün, ideal für Outdoor-Abenteuer.",Outdoor-Bekleidung,Jack Wolfskin,150,15,222.13,20,277.66,XL,Grün,ideal_für_zelt,Sofort lieferbar,2025-08-05
OUTD-0002,Trekkingstöcke M – Schwarz,"Hochwertiger trekkingstöcke in der Größe M und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Mammut,82,19,126.22,20,157.77,M,Schwarz,ideal_für_zelt,Nicht auf Lager,2025-08-05
OUTD-0003,Isomatten 2-Personen – Rot,"Hochwertiger isomatten in der Größe 2-Personen und Farbe Rot, ideal für Outdoor-Abenteuer.",Isomatten,Jack Wolfskin,118,18,91.86,5,96.7,2-Personen,Rot,ergänzt_bekleidung,Nicht auf Lager,2025-08-05
OUTD-0004,Trekkingstöcke 60L – Grau,"Hochwertiger trekkingstöcke in der Größe 60L und Farbe Grau, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Mammut,53,17,166.41,5,175.17,60L,Grau,passend_zu_rucksack,Vorbestellung,2025-08-05
OUTD-0005,Trekkingstöcke 3-Personen – Rot,"Hochwertiger trekkingstöcke in der Größe 3-Personen und Farbe Rot, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Columbia,66,7,180.04,15,211.81,3-Personen,Rot,passend_zu_rucksack,Vorbestellung,2025-08-05
OUTD-0006,Zelte XL – Oliv,"Hochwertiger zelte in der Größe XL und Farbe Oliv, ideal für Outdoor-Abenteuer.",Zelte,Jack Wolfskin,109,8,221.65,15,260.76,XL,Oliv,ergänzt_bekleidung,Nicht auf Lager,2025-08-05
OUTD-0007,Zelte 60L – Grau,"Hochwertiger zelte in der Größe 60L und Farbe Grau, ideal für Outdoor-Abenteuer.",Zelte,Mammut,48,17,214.8,0,214.8,60L,Grau,kombinierbar_mit_schlafsack,2–3 Werktage,2025-08-05
OUTD-0008,Trekkingstöcke 60L – Schwarz,"Hochwertiger trekkingstöcke in der Größe 60L und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Deuter,147,10,85.54,20,106.93,60L,Schwarz,für_wanderschuhe,Nicht auf Lager,2025-08-05
OUTD-0009,Trekkingstöcke S – Blau,"Hochwertiger trekkingstöcke in der Größe S und Farbe Blau, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Mammut,88,15,146.59,5,154.3,S,Blau,für_wanderschuhe,Sofort lieferbar,2025-08-05
OUTD-0010,Zelte 2-Personen – Rot,"Hochwertiger zelte in der Größe 2-Personen und Farbe Rot, ideal für Outdoor-Abenteuer.",Zelte,Columbia,3,7,92.19,5,97.04,2-Personen,Rot,kombinierbar_mit_schlafsack,Vorbestellung,2025-08-05
OUTD-0011,Isomatten L – Orange,"Hochwertiger isomatten in der Größe L und Farbe Orange, ideal für Outdoor-Abenteuer.",Isomatten,The North Face,12,12,220.03,10,255.59,L,Orange,ergänzt_bekleidung,Nicht auf Lager,2025-08-05
OUTD-0012,Rucksäcke XL – Rot,"Hochwertiger rucksäcke in der Größe XL und Farbe Rot, ideal für Outdoor-Abenteuer.",Rucksäcke,Jack Wolfskin,90,12,76.06,0,76.06,XL,Rot,passend_zu_rucksack,2–3 Werktage,2025-08-05
OUTD-0013,Trekkingstöcke 3-Personen – Rot,"Hochwertiger trekkingstöcke in der Größe 3-Personen und Farbe Rot, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Deuter,20,13,166.58,5,175.35,3-Personen,Rot,kombinierbar_mit_schlafsack,Vorbestellung,2025-08-05
OUTD-0014,Zelte 3-Personen – Oliv,"Hochwertiger zelte in der Größe 3-Personen und Farbe Oliv, ideal für Outdoor-Abenteuer.",Zelte,Jack Wolfskin,110,6,213.19,5,224.41,3-Personen,Oliv,passend_zu_rucksack,2–3 Werktage,2025-08-05
OUTD-0015,Wanderschuhe 60L – Grau,"Hochwertiger wanderschuhe in der Größe 60L und Farbe Grau, ideal für Outdoor-Abenteuer.",Wanderschuhe,Jack Wolfskin,64,18,100.06,10,111.18,60L,Grau,ideal_für_zelt,2–3 Werktage,2025-08-05
OUTD-0016,Zelte 60L – Grau,"Hochwertiger zelte in der Größe 60L und Farbe Grau, ideal für Outdoor-Abenteuer.",Zelte,Vaude,91,11,156.29,15,183.87,60L,Grau,ideal_für_zelt,2–3 Werktage,2025-08-05
OUTD-0017,Zelte M – Rot,"Hochwertiger zelte in der Größe M und Farbe Rot, ideal für Outdoor-Abenteuer.",Zelte,Jack Wolfskin,27,8,208.13,20,260.16,M,Rot,für_wanderschuhe,Nicht auf Lager,2025-08-05
OUTD-0018,Isomatten 60L – Schwarz,"Hochwertiger isomatten in der Größe 60L und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Isomatten,Vaude,69,10,78.78,10,87.53,60L,Schwarz,ergänzt_bekleidung,Sofort lieferbar,2025-08-05
OUTD-0019,Rucksäcke One Size – Oliv,"Hochwertiger rucksäcke in der Größe One Size und Farbe Oliv, ideal für Outdoor-Abenteuer.",Rucksäcke,Vaude,1,14,241.06,15,283.6,One Size,Oliv,passend_zu_rucksack,Sofort lieferbar,2025-08-05
OUTD-0020,Trekkingstöcke 2-Personen – Rot,"Hochwertiger trekkingstöcke in der Größe 2-Personen und Farbe Rot, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Columbia,15,17,160.02,20,200.03,2-Personen,Rot,passend_zu_rucksack,Sofort lieferbar,2025-08-05
OUTD-0021,Rucksäcke S – Grau,"Hochwertiger rucksäcke in der Größe S und Farbe Grau, ideal für Outdoor-Abenteuer.",,Columbia,37,19,49.22,20,61.52,S,Grau,ergänzt_bekleidung,Nicht auf Lager,2025-08-05
OUTD-0022,Zelte XL – Rot,"Hochwertiger zelte in der Größe XL und Farbe Rot, ideal für Outdoor-Abenteuer.",Zelte,Jack Wolfskin,80,18,224.26,20,280.33,XL,Rot,ergänzt_bekleidung,Vorbestellung,2025-08-05
OUTD-0023,Schlafsäcke 3-Personen – Grau,"Hochwertiger schlafsäcke in der Größe 3-Personen und Farbe Grau, ideal für Outdoor-Abenteuer.",Schlafsäcke,Deuter,33,20,45.08,10,50.09,3-Personen,Grau,passend_zu_rucksack,2–3 Werktage,2025-08-05
OUTD-0024,Schlafsäcke L – Grau,"Hochwertiger schlafsäcke in der Größe L und Farbe Grau, ideal für Outdoor-Abenteuer.",Schlafsäcke,The North Face,8,12,163.27,0,163.27,L,Grau,kombinierbar_mit_schlafsack,Sofort lieferbar,2025-08-05
OUTD-0025,Schlafsäcke One Size – Schwarz,"Hochwertiger schlafsäcke in der Größe One Size und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Schlafsäcke,The North Face,74,6,167.56,10,186.18,One Size,Schwarz,kombinierbar_mit_schlafsack,Vorbestellung,2025-08-05
OUTD-0026,Trekkingstöcke M – Blau,"Hochwertiger trekkingstöcke in der Größe M und Farbe Blau, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Jack Wolfskin,3,19,160.00,5,180.59,M,Blau,passend_zu_rucksack,Vorbestellung,2025-08-05
OUTD-0027,Zelte M – Schwarz,"Hochwertiger zelte in der Größe M und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Zelte,The North Face,22,17,112.64,5,118.57,M,Schwarz,ideal_für_zelt,Sofort lieferbar,2025-08-05
OUTD-0028,Wanderschuhe 60L – Grün,"Hochwertiger wanderschuhe in der Größe 60L und Farbe Grün, ideal für Outdoor-Abenteuer.",Wanderschuhe,Vaude,112,9,75.96,0,75.96,60L,Grün,passend_zu_rucksack,Nicht auf Lager,2025-08-05
OUTD-0029,Zelte 3-Personen – Grau,"Hochwertiger zelte in der Größe 3-Personen und Farbe Grau, ideal für Outdoor-Abenteuer.",Zelte,Deuter,120,10,193.63,20,242.04,3-Personen,Grau,ideal_für_zelt,2–3 Werktage,2025-08-05
OUTD-0030,Zelte 60L – Blau,"Hochwertiger zelte in der Größe 60L und Farbe Blau, ideal für Outdoor-Abenteuer.",Zelte,Jack Wolfskin,140,19,233.16,15,274.31,60L,Blau,für_wanderschuhe,2–3 Werktage,2025-08-05
OUTD-0031,Isomatten 2-Personen – Oliv,"Hochwertiger isomatten in der Größe 2-Personen und Farbe Oliv, ideal für Outdoor-Abenteuer.",Isomatten,Mammut,35,6,221.66,5,233.33,2-Personen,Oliv,ideal_für_zelt,Nicht auf Lager,2025-08-05
OUTD-0032,Outdoor-Bekleidung 2-Personen – Grau,"Hochwertiger outdoor-bekleidung in der Größe 2-Personen und Farbe Grau, ideal für Outdoor-Abenteuer.",Outdoor-Bekleidung,Deuter,38,20,152.61,0,152.61,2-Personen,Grau,ideal_für_zelt,Nicht auf Lager,2025-08-05
OUTD-0033,Wanderschuhe L – Orange,"Hochwertiger wanderschuhe in der Größe L und Farbe Orange, ideal für Outdoor-Abenteuer.",Wanderschuhe,Vaude,98,8,120.6,15,141.88,L,Orange,ergänzt_bekleidung,Sofort lieferbar,2025-08-05
OUTD-0034,Zelte One Size – Grau,"Hochwertiger zelte in der Größe One Size und Farbe Grau, ideal für Outdoor-Abenteuer.",Zelte,Columbia,141,6,73.04,20,91.3,One Size,Grau,ideal_für_zelt,2–3 Werktage,2025-08-05
OUTD-0035,Outdoor-Bekleidung XL – Rot,"Hochwertiger outdoor-bekleidung in der Größe XL und Farbe Rot, ideal für Outdoor-Abenteuer.",Outdoor-Bekleidung,Mammut,78,16,141.76,5,149.22,XL,Rot,für_wanderschuhe,2–3 Werktage,2025-08-05
OUTD-0036,Trekkingstöcke L – Grün,"Hochwertiger trekkingstöcke in der Größe L und Farbe Grün, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Vaude,60,16,263.74,5,277.62,L,Grün,kombinierbar_mit_schlafsack,Nicht auf Lager,2025-08-05
OUTD-0037,Trekkingstöcke 2-Personen – Rot,"Hochwertiger trekkingstöcke in der Größe 2-Personen und Farbe Rot, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Columbia,115,7,234.17,15,275.49,2-Personen,Rot,für_wanderschuhe,Nicht auf Lager,2025-08-05
OUTD-0038,Schlafsäcke M – Orange,"Hochwertiger schlafsäcke in der Größe M und Farbe Orange, ideal für Outdoor-Abenteuer.",Schlafsäcke,Deuter,130,16,189.86,0,189.86,M,Orange,ideal_für_zelt,Sofort lieferbar,2025-08-05
OUTD-0039,Isomatten L – Schwarz,"Hochwertiger isomatten in der Größe L und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Isomatten,The North Face,0,15,247.72,15,291.43,L,Schwarz,für_wanderschuhe,2–3 Werktage,2025-08-05
OUTD-0040,Schlafsäcke XL – Grün,"Hochwertiger schlafsäcke in der Größe XL und Farbe Grün, ideal für Outdoor-Abenteuer.",Schlafsäcke,Mammut,89,19,202.26,20,252.83,XL,Grün,ideal_für_zelt,2–3 Werktage,2025-08-05
OUTD-0041,Rucksäcke L – Grün,"Hochwertiger rucksäcke in der Größe L und Farbe Grün, ideal für Outdoor-Abenteuer.",,Vaude,86,15,192.92,20,241.15,L,Grün,passend_zu_rucksack,2–3 Werktage,2025-08-05
OUTD-0042,Trekkingstöcke S – Oliv,"Hochwertiger trekkingstöcke in der Größe S und Farbe Oliv, ideal für Outdoor-Abenteuer.",Trekkingstöcke,The North Face,55,17,155.84,10,173.16,S,Oliv,kombinierbar_mit_schlafsack,Nicht auf Lager,2025-08-05
OUTD-0043,Zelte 60L – Grün,"Hochwertiger zelte in der Größe 60L und Farbe Grün, ideal für Outdoor-Abenteuer.",Zelte,Salewa,102,7,220.36,20,275.45,60L,Grün,ideal_für_zelt,Vorbestellung,2025-08-05
OUTD-0044,Schlafsäcke 2-Personen – Rot,"Hochwertiger schlafsäcke in der Größe 2-Personen und Farbe Rot, ideal für Outdoor-Abenteuer.",Schlafsäcke,Vaude,95,20,201.08,5,211.66,2-Personen,Rot,ideal_für_zelt,Sofort lieferbar,2025-08-05
OUTD-0045,Zelte One Size – Grün,"Hochwertiger zelte in der Größe One Size und Farbe Grün, ideal für Outdoor-Abenteuer.",Zelte,Jack Wolfskin,4,19,59.9,15,70.47,One Size,Grün,ideal_für_zelt,2–3 Werktage,2025-08-05
OUTD-0046,Rucksäcke XL – Schwarz,"Hochwertiger rucksäcke in der Größe XL und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Rucksäcke,Columbia,55,15,157.58,15,185.39,XL,Schwarz,ergänzt_bekleidung,Sofort lieferbar,2025-08-05
OUTD-0047,Rucksäcke S – Oliv,"Hochwertiger rucksäcke in der Größe S und Farbe Oliv, ideal für Outdoor-Abenteuer.",Rucksäcke,Deuter,27,19,226.36,0,226.36,S,Oliv,ideal_für_zelt,Sofort lieferbar,2025-08-05
OUTD-0048,Rucksäcke M – Oliv,"Hochwertiger rucksäcke in der Größe M und Farbe Oliv, ideal für Outdoor-Abenteuer.",Rucksäcke,Salewa,1,11,241.59,15,284.22,M,Oliv,für_wanderschuhe,2–3 Werktage,2025-08-05
OUTD-0049,Rucksäcke L – Schwarz,"Hochwertiger rucksäcke in der Größe L und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Rucksäcke,Deuter,81,12,128.43,5,135.19,L,Schwarz,ideal_für_zelt,2–3 Werktage,2025-08-05
OUTD-0050,Rucksäcke 60L – Grün,"Hochwertiger rucksäcke in der Größe 60L und Farbe Grün, ideal für Outdoor-Abenteuer.",Rucksäcke,The North Face,128,10,162.93,5,171.51,60L,Grün,passend_zu_rucksack,Sofort lieferbar,2025-08-05
OUTD-0051,Schlafsäcke M – Grau,"Hochwertiger schlafsäcke in der Größe M und Farbe Grau, ideal für Outdoor-Abenteuer.",Schlafsäcke,Jack Wolfskin,48,17,165.45,10,183.83,M,Grau,ideal_für_zelt,2–3 Werktage,2025-08-05
OUTD-0052,Wanderschuhe S – Blau,"Hochwertiger wanderschuhe in der Größe S und Farbe Blau, ideal für Outdoor-Abenteuer.",Wanderschuhe,Columbia,118,18,166.53,20,208.16,S,Blau,passend_zu_rucksack,Nicht auf Lager,2025-08-05
OUTD-0053,Zelte XL – Grün,"Hochwertiger zelte in der Größe XL und Farbe Grün, ideal für Outdoor-Abenteuer.",Zelte,Columbia,11,15,95.62,0,95.62,XL,Grün,passend_zu_rucksack,Vorbestellung,2025-08-05
OUTD-0054,Zelte M – Grün,"Hochwertiger zelte in der Größe M und Farbe Grün, ideal für Outdoor-Abenteuer.",,Vaude,120,6,79.92,20,99.9,M,Grün,ideal_für_zelt,Sofort lieferbar,2025-08-05
OUTD-0055,Zelte S – Rot,"Hochwertiger zelte in der Größe S und Farbe Rot, ideal für Outdoor-Abenteuer.",Zelte,Deuter,88,19,105.12,0,105.12,S,Rot,passend_zu_rucksack,Nicht auf Lager,2025-08-05
OUTD-0056,Schlafsäcke L – Oliv,"Hochwertiger schlafsäcke in der Größe L und Farbe Oliv, ideal für Outdoor-Abenteuer.",Schlafsäcke,Vaude,106,17,207.31,20,259.14,L,Oliv,ideal_für_zelt,Vorbestellung,2025-08-05
OUTD-0057,Isomatten 3-Personen – Blau,"Hochwertiger isomatten in der Größe 3-Personen und Farbe Blau, ideal für Outdoor-Abenteuer.",Isomatten,The North Face,44,9,218.65,20,273.31,3-Personen,Blau,kombinierbar_mit_schlafsack,Vorbestellung,2025-08-05
OUTD-0058,Zelte 2-Personen – Schwarz,"Hochwertiger zelte in der Größe 2-Personen und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Zelte,Salewa,138,5,64.18,10,71.31,2-Personen,Schwarz,kombinierbar_mit_schlafsack,Sofort lieferbar,2025-08-05
OUTD-0059,Trekkingstöcke L – Oliv,"Hochwertiger trekkingstöcke in der Größe L und Farbe Oliv, ideal für Outdoor-Abenteuer.",Trekkingstöcke,The North Face,26,6,203.03,20,253.79,L,Oliv,passend_zu_rucksack,2–3 Werktage,2025-08-05
OUTD-0060,Schlafsäcke XL – Grün,"Hochwertiger schlafsäcke in der Größe XL und Farbe Grün, ideal für Outdoor-Abenteuer.",Schlafsäcke,Columbia,69,17,48.87,5,51.44,XL,Grün,passend_zu_rucksack,2–3 Werktage,2025-08-05
OUTD-0061,Schlafsäcke 3-Personen – Grau,"Hochwertiger schlafsäcke in der Größe 3-Personen und Farbe Grau, ideal für Outdoor-Abenteuer.",Schlafsäcke,Deuter,57,13,297.12,0,297.12,3-Personen,Grau,für_wanderschuhe,Nicht auf Lager,2025-08-05
OUTD-0062,Schlafsäcke XL – Oliv,"Hochwertiger schlafsäcke in der Größe XL und Farbe Oliv, ideal für Outdoor-Abenteuer.",Schlafsäcke,Vaude,57,15,83.91,15,98.72,XL,Oliv,ergänzt_bekleidung,2–3 Werktage,2025-08-05
OUTD-0063,Trekkingstöcke XL – Grau,"Hochwertiger trekkingstöcke in der Größe XL und Farbe Grau, ideal für Outdoor-Abenteuer.",,Mammut,128,14,204.93,15,241.09,XL,Grau,ideal_für_zelt,2–3 Werktage,2025-08-05
OUTD-0064,Trekkingstöcke S – Schwarz,"Hochwertiger trekkingstöcke in der Größe S und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Deuter,38,18,85.14,10,94.6,S,Schwarz,für_wanderschuhe,Sofort lieferbar,2025-08-05
OUTD-0065,Rucksäcke XL – Grün,"Hochwertiger rucksäcke in der Größe XL und Farbe Grün, ideal für Outdoor-Abenteuer.",Rucksäcke,Salewa,3,17,88.1,20,110.13,XL,Grün,ergänzt_bekleidung,Sofort lieferbar,2025-08-05
OUTD-0066,Schlafsäcke 3-Personen – Grün,"Hochwertiger schlafsäcke in der Größe 3-Personen und Farbe Grün, ideal für Outdoor-Abenteuer.",Schlafsäcke,The North Face,25,5,202.11,20,252.64,3-Personen,Grün,kombinierbar_mit_schlafsack,2–3 Werktage,2025-08-05
OUTD-0067,Isomatten L – Grau,"Hochwertiger isomatten in der Größe L und Farbe Grau, ideal für Outdoor-Abenteuer.",Isomatten,Deuter,11,9,212.81,15,250.37,L,Grau,kombinierbar_mit_schlafsack,Vorbestellung,2025-08-05
