Artikelnummer,Produktname,Beschreibung,Warengruppe,Hersteller,Lagerbestand,Mindestmeldebestand,Verkaufspreis (VK),Rabatt,UVP,Größe,Farbe,Tag für Crossselling,Verfügbarkeit,last_updated
OUTD-0134,Isomatten XL – Oliv,"Hochwertiger isomatten in der Größe XL und Farbe Oliv, ideal für Outdoor-Abenteuer.",Isomatten,Deuter,76,14,229.58,10,255.09,XL,Oliv,ergänzt_bekleidung,Vorbestellung,2025-08-05
OUTD-0135,Outdoor-Bekleidung L – Oliv,"Hochwertiger outdoor-bekleidung in der Größe L und Farbe Oliv, ideal für Outdoor-Abenteuer.",Outdoor-Bekleidung,Jack Wolfskin,104,14,88.72,5,93.39,L,Oliv,für_wanderschuhe,Vorbestellung,2025-08-05
OUTD-0136,Rucksäcke L – Blau,"Hochwertiger rucksäcke in der Größe L und Farbe Blau, ideal für Outdoor-Abenteuer.",Rucksäcke,Vaude,101,5,278.6,0,278.6,L,Blau,für_wanderschuhe,Nicht auf Lager,2025-08-05
OUTD-0137,Isomatten XL – Schwarz,"Hochwertiger isomatten in der Größe XL und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Isomatten,Deuter,5,19,212.77,0,212.77,XL,Schwarz,für_wanderschuhe,Nicht auf Lager,2025-08-05
OUTD-0138,Rucksäcke 2-Personen – Grau,"Hochwertiger rucksäcke in der Größe 2-Personen und Farbe Grau, ideal für Outdoor-Abenteuer.",Rucksäcke,The North Face,142,11,68.71,10,76.34,2-Personen,Grau,ergänzt_bekleidung,Nicht auf Lager,2025-08-05
OUTD-0139,Isomatten 3-Personen – Blau,"Hochwertiger isomatten in der Größe 3-Personen und Farbe Blau, ideal für Outdoor-Abenteuer.",Isomatten,Jack Wolfskin,80,9,102.69,10,114.1,3-Personen,Blau,für_wanderschuhe,Nicht auf Lager,2025-08-05
OUTD-0140,Schlafsäcke 60L – Blau,"Hochwertiger schlafsäcke in der Größe 60L und Farbe Blau, ideal für Outdoor-Abenteuer.",Schlafsäcke,Jack Wolfskin,116,14,111.47,15,131.14,60L,Blau,kombinierbar_mit_schlafsack,Vorbestellung,2025-08-05
OUTD-0141,Schlafsäcke XL – Grau,"Hochwertiger schlafsäcke in der Größe XL und Farbe Grau, ideal für Outdoor-Abenteuer.",Schlafsäcke,Mammut,139,20,142.59,5,150.1,XL,Grau,ergänzt_bekleidung,Vorbestellung,2025-08-04
OUTD-0142,Trekkingstöcke S – Oliv,"Hochwertiger trekkingstöcke in der Größe S und Farbe Oliv, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Columbia,117,15,214.29,5,225.57,S,Oliv,für_wanderschuhe,Vorbestellung,2025-08-05
OUTD-0143,Isomatten M – Grau,"Hochwertiger isomatten in der Größe M und Farbe Grau, ideal für Outdoor-Abenteuer.",Isomatten,Jack Wolfskin,128,14,230.5,10,256.11,M,Grau,ergänzt_bekleidung,Sofort lieferbar,2025-08-05
OUTD-0144,Trekkingstöcke 3-Personen – Grau,"Hochwertiger trekkingstöcke in der Größe 3-Personen und Farbe Grau, ideal für Outdoor-Abenteuer.",Trekkingstöcke,The North Face,32,7,54.35,15,63.94,3-Personen,Grau,passend_zu_rucksack,Vorbestellung,2025-08-05
OUTD-0145,Trekkingstöcke 2-Personen – Schwarz,"Hochwertiger trekkingstöcke in der Größe 2-Personen und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Vaude,110,18,173.29,5,182.41,2-Personen,Schwarz,ergänzt_bekleidung,Vorbestellung,2025-08-05
OUTD-0146,Trekkingstöcke 2-Personen – Grau,"Hochwertiger trekkingstöcke in der Größe 2-Personen und Farbe Grau, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Salewa,122,20,160.74,15,189.11,2-Personen,Grau,ergänzt_bekleidung,Sofort lieferbar,2025-08-05
OUTD-0147,Rucksäcke L – Grau,"Hochwertiger rucksäcke in der Größe L und Farbe Grau, ideal für Outdoor-Abenteuer.",Rucksäcke,Deuter,52,6,111.95,10,124.39,L,Grau,für_wanderschuhe,Nicht auf Lager,2025-08-05
OUTD-0148,Isomatten 60L – Rot,"Hochwertiger isomatten in der Größe 60L und Farbe Rot, ideal für Outdoor-Abenteuer.",Isomatten,Salewa,32,5,283.21,5,298.12,60L,Rot,ergänzt_bekleidung,Vorbestellung,2025-08-05
OUTD-0149,Rucksäcke 2-Personen – Rot,"Hochwertiger rucksäcke in der Größe 2-Personen und Farbe Rot, ideal für Outdoor-Abenteuer.",Rucksäcke,Columbia,126,20,202.94,5,213.62,2-Personen,Rot,ergänzt_bekleidung,Sofort lieferbar,2025-08-05
OUTD-0150,Zelte One Size – Grün,"Hochwertiger zelte in der Größe One Size und Farbe Grün, ideal für Outdoor-Abenteuer.",Zelte,Deuter,65,14,65.24,5,68.67,One Size,Grün,ergänzt_bekleidung,Vorbestellung,2025-08-05
OUTD-0151,Isomatten L – Orange,"Hochwertiger isomatten in der Größe L und Farbe Orange, ideal für Outdoor-Abenteuer.",Isomatten,Vaude,54,13,284.76,0,284.76,L,Orange,für_wanderschuhe,2–3 Werktage,2025-08-05
OUTD-0152,Wanderschuhe S – Grau,"Hochwertiger wanderschuhe in der Größe S und Farbe Grau, ideal für Outdoor-Abenteuer.",Wanderschuhe,The North Face,134,6,236.46,5,248.91,S,Grau,passend_zu_rucksack,Sofort lieferbar,2025-08-05
OUTD-0153,Rucksäcke L – Orange,"Hochwertiger rucksäcke in der Größe L und Farbe Orange, ideal für Outdoor-Abenteuer.",Rucksäcke,Mammut,107,7,206.5,0,206.5,L,Orange,kombinierbar_mit_schlafsack,2–3 Werktage,2025-08-05
OUTD-0154,Trekkingstöcke One Size – Oliv,"Hochwertiger trekkingstöcke in der Größe One Size und Farbe Oliv, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Vaude,83,14,144.73,5,152.35,One Size,Oliv,kombinierbar_mit_schlafsack,Sofort lieferbar,2025-08-05
OUTD-0155,Isomatten M – Orange,"Hochwertiger isomatten in der Größe M und Farbe Orange, ideal für Outdoor-Abenteuer.",Isomatten,Salewa,74,14,49.35,15,58.06,M,Orange,ergänzt_bekleidung,Vorbestellung,2025-08-05
OUTD-0156,Wanderschuhe 2-Personen – Rot,"Hochwertiger wanderschuhe in der Größe 2-Personen und Farbe Rot, ideal für Outdoor-Abenteuer.",Wanderschuhe,Salewa,60,16,197.24,10,219.16,2-Personen,Rot,für_wanderschuhe,Sofort lieferbar,2025-08-05
OUTD-0157,Isomatten L – Schwarz,"Hochwertiger isomatten in der Größe L und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Isomatten,Vaude,57,8,256.86,5,270.38,L,Schwarz,für_wanderschuhe,Vorbestellung,2025-08-05
OUTD-0158,Schlafsäcke 60L – Orange,"Hochwertiger schlafsäcke in der Größe 60L und Farbe Orange, ideal für Outdoor-Abenteuer.",Schlafsäcke,Columbia,35,16,91.02,5,95.81,60L,Orange,für_wanderschuhe,Vorbestellung,2025-08-02
OUTD-0159,Zelte 3-Personen – Grün,"Hochwertiger zelte in der Größe 3-Personen und Farbe Grün, ideal für Outdoor-Abenteuer.",Zelte,Jack Wolfskin,18,14,174.99,5,184.2,3-Personen,Grün,passend_zu_rucksack,Nicht auf Lager,2025-08-05
OUTD-0160,Zelte M – Blau,"Hochwertiger zelte in der Größe M und Farbe Blau, ideal für Outdoor-Abenteuer.",Zelte,Salewa,72,16,80.63,10,89.59,M,Blau,ideal_für_zelt,Nicht auf Lager,2025-08-05
OUTD-0161,Trekkingstöcke 60L – Oliv,"Hochwertiger trekkingstöcke in der Größe 60L und Farbe Oliv, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Jack Wolfskin,71,16,130.93,0,130.93,60L,Oliv,passend_zu_rucksack,Sofort lieferbar,2025-08-05
OUTD-0162,Isomatten M – Blau,"Hochwertiger isomatten in der Größe M und Farbe Blau, ideal für Outdoor-Abenteuer.",Isomatten,Vaude,129,9,179.59,15,211.28,M,Blau,ergänzt_bekleidung,2–3 Werktage,2025-08-05
OUTD-0163,Trekkingstöcke 2-Personen – Schwarz,"Hochwertiger trekkingstöcke in der Größe 2-Personen und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Salewa,15,17,169.54,0,169.54,2-Personen,Schwarz,passend_zu_rucksack,Vorbestellung,2025-08-05
OUTD-0164,Outdoor-Bekleidung 3-Personen – Grau,"Hochwertiger outdoor-bekleidung in der Größe 3-Personen und Farbe Grau, ideal für Outdoor-Abenteuer.",Outdoor-Bekleidung,Jack Wolfskin,15,11,232.0,10,257.78,3-Personen,Grau,kombinierbar_mit_schlafsack,2–3 Werktage,2025-08-05
OUTD-0165,Rucksäcke 3-Personen – Grün,"Hochwertiger rucksäcke in der Größe 3-Personen und Farbe Grün, ideal für Outdoor-Abenteuer.",Rucksäcke,Deuter,84,19,105.99,20,132.49,3-Personen,Grün,ideal_für_zelt,Vorbestellung,2025-08-05
OUTD-0166,Wanderschuhe 3-Personen – Oliv,"Hochwertiger wanderschuhe in der Größe 3-Personen und Farbe Oliv, ideal für Outdoor-Abenteuer.",Wanderschuhe,Vaude,140,20,92.81,20,116.01,3-Personen,Oliv,kombinierbar_mit_schlafsack,Sofort lieferbar,2025-08-05
OUTD-0167,Wanderschuhe XL – Grau,"Hochwertiger wanderschuhe in der Größe XL und Farbe Grau, ideal für Outdoor-Abenteuer.",Wanderschuhe,Salewa,80,6,159.2,15,187.29,XL,Grau,für_wanderschuhe,Sofort lieferbar,2025-08-05
OUTD-0168,Isomatten S – Grün,"Hochwertiger isomatten in der Größe S und Farbe Grün, ideal für Outdoor-Abenteuer.",Isomatten,Jack Wolfskin,62,9,126.04,5,132.67,S,Grün,ideal_für_zelt,Nicht auf Lager,2025-08-05
OUTD-0169,Rucksäcke XL – Orange,"Hochwertiger rucksäcke in der Größe XL und Farbe Orange, ideal für Outdoor-Abenteuer.",Rucksäcke,Columbia,4,15,131.92,20,164.9,XL,Orange,ergänzt_bekleidung,2–3 Werktage,2025-08-05
OUTD-0170,Outdoor-Bekleidung XL – Grün,"Hochwertiger outdoor-bekleidung in der Größe XL und Farbe Grün, ideal für Outdoor-Abenteuer.",Outdoor-Bekleidung,Columbia,33,17,79.8,15,93.88,XL,Grün,kombinierbar_mit_schlafsack,Nicht auf Lager,2025-08-05
OUTD-0171,Wanderschuhe M – Schwarz,"Hochwertiger wanderschuhe in der Größe M und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Wanderschuhe,Salewa,143,7,230.75,20,288.44,M,Schwarz,ideal_für_zelt,Vorbestellung,2025-08-05
OUTD-0172,Isomatten One Size – Orange,"Hochwertiger isomatten in der Größe One Size und Farbe Orange, ideal für Outdoor-Abenteuer.",Isomatten,Mammut,95,5,43.33,20,54.16,One Size,Orange,passend_zu_rucksack,Sofort lieferbar,2025-08-05
OUTD-0173,Schlafsäcke 2-Personen – Grau,"Hochwertiger schlafsäcke in der Größe 2-Personen und Farbe Grau, ideal für Outdoor-Abenteuer.",Schlafsäcke,Columbia,70,17,120.22,20,150.28,2-Personen,Grau,kombinierbar_mit_schlafsack,2–3 Werktage,2025-08-05
OUTD-0174,Schlafsäcke 2-Personen – Schwarz,"Hochwertiger schlafsäcke in der Größe 2-Personen und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Schlafsäcke,The North Face,13,20,261.1,10,290.11,2-Personen,Schwarz,kombinierbar_mit_schlafsack,Sofort lieferbar,2025-08-05
OUTD-0175,Outdoor-Bekleidung XL – Grün,"Hochwertiger outdoor-bekleidung in der Größe XL und Farbe Grün, ideal für Outdoor-Abenteuer.",Outdoor-Bekleidung,Salewa,119,14,228.68,0,228.68,XL,Grün,für_wanderschuhe,Nicht auf Lager,2025-08-05
OUTD-0176,Isomatten M – Orange,"Hochwertiger isomatten in der Größe M und Farbe Orange, ideal für Outdoor-Abenteuer.",Isomatten,Vaude,126,8,115.07,10,127.86,M,Orange,ergänzt_bekleidung,Vorbestellung,2025-08-05
OUTD-0177,Trekkingstöcke M – Schwarz,"Hochwertiger trekkingstöcke in der Größe M und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Salewa,76,8,63.0,5,66.32,M,Schwarz,ideal_für_zelt,Vorbestellung,2025-08-05
OUTD-0178,Zelte L – Rot,"Hochwertiger zelte in der Größe L und Farbe Rot, ideal für Outdoor-Abenteuer.",Zelte,Columbia,39,18,168.33,0,168.33,L,Rot,passend_zu_rucksack,Sofort lieferbar,2025-08-05
OUTD-0179,Outdoor-Bekleidung 60L – Blau,"Hochwertiger outdoor-bekleidung in der Größe 60L und Farbe Blau, ideal für Outdoor-Abenteuer.",Outdoor-Bekleidung,The North Face,1,20,71.14,10,79.05,60L,Blau,passend_zu_rucksack,Sofort lieferbar,2025-08-05
OUTD-0180,Isomatten 2-Personen – Orange,"Hochwertiger isomatten in der Größe 2-Personen und Farbe Orange, ideal für Outdoor-Abenteuer.",Isomatten,The North Face,139,10,161.04,20,201.3,2-Personen,Orange,für_wanderschuhe,Vorbestellung,2025-08-05
OUTD-0181,Zelte XL – Oliv,"Hochwertiger zelte in der Größe XL und Farbe Oliv, ideal für Outdoor-Abenteuer.",Zelte,Columbia,132,7,182.36,15,214.54,XL,Oliv,kombinierbar_mit_schlafsack,2–3 Werktage,2025-08-05
OUTD-0182,Isomatten 2-Personen – Oliv,"Hochwertiger isomatten in der Größe 2-Personen und Farbe Oliv, ideal für Outdoor-Abenteuer.",Isomatten,Salewa,16,11,213.13,5,224.35,2-Personen,Oliv,passend_zu_rucksack,2–3 Werktage,2025-08-05
OUTD-0183,Wanderschuhe L – Orange,"Hochwertiger wanderschuhe in der Größe L und Farbe Orange, ideal für Outdoor-Abenteuer.",Wanderschuhe,The North Face,105,9,103.88,5,109.35,L,Orange,ergänzt_bekleidung,Vorbestellung,2025-08-05
OUTD-0184,Trekkingstöcke L – Rot,"Hochwertiger trekkingstöcke in der Größe L und Farbe Rot, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Jack Wolfskin,124,15,51.16,20,63.95,L,Rot,für_wanderschuhe,Vorbestellung,2025-08-05
OUTD-0185,Rucksäcke 3-Personen – Orange,"Hochwertiger rucksäcke in der Größe 3-Personen und Farbe Orange, ideal für Outdoor-Abenteuer.",Rucksäcke,Deuter,150,9,254.8,15,299.77,3-Personen,Orange,ideal_für_zelt,Vorbestellung,2025-08-05
OUTD-0186,Outdoor-Bekleidung XL – Orange,"Hochwertiger outdoor-bekleidung in der Größe XL und Farbe Orange, ideal für Outdoor-Abenteuer.",Outdoor-Bekleidung,Salewa,79,13,84.0,10,93.33,XL,Orange,passend_zu_rucksack,Nicht auf Lager,2025-08-05
OUTD-0187,Isomatten L – Schwarz,"Hochwertiger isomatten in der Größe L und Farbe Schwarz, ideal für Outdoor-Abenteuer.",Isomatten,Salewa,74,6,81.7,15,96.12,L,Schwarz,für_wanderschuhe,2–3 Werktage,2025-08-05
OUTD-0188,Zelte 2-Personen – Blau,"Hochwertiger zelte in der Größe 2-Personen und Farbe Blau, ideal für Outdoor-Abenteuer.",Zelte,The North Face,52,19,52.8,15,62.12,2-Personen,Blau,kombinierbar_mit_schlafsack,Vorbestellung,2025-08-05
OUTD-0189,Isomatten 3-Personen – Grün,"Hochwertiger isomatten in der Größe 3-Personen und Farbe Grün, ideal für Outdoor-Abenteuer.",Isomatten,Vaude,64,11,130.34,5,137.2,3-Personen,Grün,für_wanderschuhe,2–3 Werktage,2025-08-05
OUTD-0190,Zelte S – Rot,"Hochwertiger zelte in der Größe S und Farbe Rot, ideal für Outdoor-Abenteuer.",Zelte,Mammut,139,5,299.15,0,299.15,S,Rot,ergänzt_bekleidung,Vorbestellung,2025-08-05
OUTD-0191,Trekkingstöcke 3-Personen – Grün,"Hochwertiger trekkingstöcke in der Größe 3-Personen und Farbe Grün, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Jack Wolfskin,78,16,55.53,15,65.33,3-Personen,Grün,für_wanderschuhe,Sofort lieferbar,2025-08-05
OUTD-0192,Zelte 2-Personen – Grün,"Hochwertiger zelte in der Größe 2-Personen und Farbe Grün, ideal für Outdoor-Abenteuer.",Zelte,Mammut,51,20,220.12,0,220.12,2-Personen,Grün,ergänzt_bekleidung,Nicht auf Lager,2025-08-05
OUTD-0193,Wanderschuhe XL – Grau,"Hochwertiger wanderschuhe in der Größe XL und Farbe Grau, ideal für Outdoor-Abenteuer.",Wanderschuhe,Deuter,98,17,199.82,5,210.34,XL,Grau,kombinierbar_mit_schlafsack,Nicht auf Lager,2025-08-05
OUTD-0194,Schlafsäcke One Size – Orange,"Hochwertiger schlafsäcke in der Größe One Size und Farbe Orange, ideal für Outdoor-Abenteuer.",Schlafsäcke,Deuter,79,15,181.82,10,202.02,One Size,Orange,kombinierbar_mit_schlafsack,Vorbestellung,2025-08-05
OUTD-0195,Schlafsäcke 2-Personen – Orange,"Hochwertiger schlafsäcke in der Größe 2-Personen und Farbe Orange, ideal für Outdoor-Abenteuer.",Schlafsäcke,Vaude,139,17,241.05,10,267.83,2-Personen,Orange,ergänzt_bekleidung,Nicht auf Lager,2025-08-05
OUTD-0196,Wanderschuhe XL – Oliv,"Hochwertiger wanderschuhe in der Größe XL und Farbe Oliv, ideal für Outdoor-Abenteuer.",Wanderschuhe,Mammut,23,7,45.61,10,50.68,XL,Oliv,passend_zu_rucksack,Nicht auf Lager,2025-08-05
OUTD-0197,Schlafsäcke 2-Personen – Orange,"Hochwertiger schlafsäcke in der Größe 2-Personen und Farbe Orange, ideal für Outdoor-Abenteuer.",Schlafsäcke,Salewa,113,5,251.42,10,279.36,2-Personen,Orange,ideal_für_zelt,Sofort lieferbar,2025-08-05
OUTD-0198,Trekkingstöcke 2-Personen – Grün,"Hochwertiger trekkingstöcke in der Größe 2-Personen und Farbe Grün, ideal für Outdoor-Abenteuer.",Trekkingstöcke,Mammut,96,11,161.84,20,202.3,2-Personen,Grün,ideal_für_zelt,Sofort lieferbar,2025-08-05
OUTD-0199,Schlafsäcke One Size – Blau,"Hochwertiger schlafsäcke in der Größe One Size und Farbe Blau, ideal für Outdoor-Abenteuer.",Schlafsäcke,The North Face,58,13,61.38,5,64.61,One Size,Blau,passend_zu_rucksack,Vorbestellung,2025-08-01
OUTD-0200,Rucksäcke One Size – Rot,"Hochwertiger rucksäcke in der Größe One Size und Farbe Rot, ideal für Outdoor-Abenteuer.",Rucksäcke,The North Face,97,10,111.93,20,139.91,One Size,Rot,kombinierbar_mit_schlafsack,2–3 Werktage,2025-08-05
